player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Desmond Bane,banede01,2022,5673,2694,2.677142763,0.8325346711,3.509677434,4.095395285,1.304377189,5.399772475,3.093926907,0.9340498047,4.027976712,9.345490071,6.870736157,2.474753914,3.406465049,1.524051486,4.930516536,-0.3112683617
Dalano Banton,bantoda01,2022,1467,704,-2.520932196,0.03998123529,-2.480950961,-2.60280898,0.8618582579,-1.740950722,-2.71176524,0.1952549174,-2.516510323,0.08271992632,0.07291264429,0.009807282028,-2.795816539,-0.2872370078,-3.083053547,-0.241734259
Cat Barber,barbeca01,2022,29,13,-18.0724718,-1.266589055,-19.33906085,15.49390571,12.21842588,27.7123316,-12.18977971,1.511149342,-10.67863037,-0.0523253699,-0.0523253699,0,-9.7404826,-3.377100006,-13.11758261,-0.4983536484
Harrison Barnes,barneha02,2022,5451,2587,1.189735558,-0.7124670393,0.4772685187,0.6692410758,-5.356892061,-4.687650985,1.178854744,-1.690969928,-0.5121151836,2.967496497,2.967496497,0,0.6759657105,-2.121708213,-1.445742502,0.4652015782
Scottie Barnes,barnesc01,2022,5553,2750,0.7571803415,0.9510558848,1.708236226,-2.333182878,-0.5126792975,-2.845862175,0.1446009671,0.6901858242,0.8347867912,5.022354503,4.637327677,0.3850268262,0.3242803904,2.070449172,2.394729562,-0.4895335615
RJ Barrett,barrerj01,2022,4924,2417,-0.3239711252,-0.5690805749,-0.8930517001,-2.017178728,-1.997850073,-4.015028801,-0.6563549406,-0.922672889,-1.57902783,1.453869686,1.453869686,0,-0.4991475987,-0.7165316318,-1.215679231,0.6843307576
Will Barton,bartowi01,2022,5062,2449,-0.05296969023,-1.471830174,-1.524799864,-2.120816318,-0.8471343847,-2.967950702,-0.5334564875,-1.413020408,-1.946476896,0.9758200067,1.405969737,-0.4301497306,0.1406105874,-1.725352875,-1.584742288,-0.0126394795
Charles Bassey,bassech01,2022,375,180,-1.000792926,1.549398908,0.5486059823,-7.262238561,0.7417626476,-6.520475914,-2.371375921,1.47054485,-0.9008310712,0.1681764121,0.2565820889,-0.0884056768,-2.139869776,0.7204786112,-1.419391165,0.03619318264
Paris Bass,basspa01,2022,16,7,4.672114444,-9.978210155,-5.306095711,-2.189065619,16.25725123,14.06818561,3.245083127,-5.261385935,-2.016302807,0.00285564794,0.00285564794,0,-2.562476084,-4.49103676,-7.053512844,8.980887413
Keita Bates-Diop,bateske01,2022,2037,956,-2.520170608,0.5997986174,-1.92037199,-2.066031575,2.526997624,0.4609660492,-2.57607824,1.038293521,-1.537784719,0.5898405208,0.5898405208,0,-2.933660158,-0.3686654599,-3.302325618,-0.2399924125
Nicolas Batum,batumni01,2022,3038,1462,-0.8701421306,2.085187927,1.215045797,-4.028984758,-0.2008282026,-4.22981296,-1.563829037,1.709506445,0.145677408,2.167206316,2.167206316,0,-1.277684994,1.947662641,0.6699776466,0.3372733538
Kent Bazemore,bazemke01,2022,1178,545,-3.075424717,4.149908973,1.074484256,-5.044761435,0.7072361699,-4.337525265,-3.652837486,3.702800476,0.04996299031,0.7834455873,0.7834455873,0,-3.088188483,2.835261294,-0.2529271886,0.6281918609
Darius Bazley,bazleda01,2022,4045,1924,-3.582215389,0.00322807802,-3.578987311,-3.230339351,-3.754988845,-6.985328196,-3.633769165,-0.760846276,-4.394615441,-1.613204803,-1.613204803,0,-3.881949824,-1.155377858,-5.037327682,-0.07374493202
Bradley Beal,bealbr01,2022,2979,1439,1.655043081,-0.2328448502,1.422198231,-1.803144923,3.705917655,1.902772732,1.065695723,0.6023012112,1.667996934,3.264921883,3.264921883,0,1.27911118,0.1510845991,1.430195779,0.6575180816
Malik Beasley,beaslma01,2022,4517,2095,0.9237079039,-2.584682751,-1.660974847,-1.380454357,0.7838915834,-0.5965627733,0.4667716652,-2.031229155,-1.56445749,1.270844473,1.380227531,-0.1093830579,0.6785598547,-2.499728112,-1.821168257,0.2419957472
Jordan Bell,belljo01,2022,4,2,19.52798322,-34.39352273,-14.86553951,57.51923336,-26.23076141,31.28847195,28.69971286,-34.69422327,-5.994510406,-0.003507788882,-0.003507788882,0,27.49895227,-0.8389146412,26.66003763,5.953309429
DeAndre' Bembry,bembrde01,2022,2155,1026,-1.011423978,1.150074516,0.1386505382,0.1976299949,-0.448849557,-0.2512195621,-0.8406795236,0.8958442823,0.05516475866,1.468029373,1.468029373,0,-0.7605030156,1.1969737,0.4364706845,-0.3067160526
Davis Bertans,bertada01,2022,2070,999,-0.7298784127,-1.286359183,-2.016237596,0.8466384813,1.148236,1.994874481,-0.4516233556,-0.8510028191,-1.302626175,0.7655432787,0.1685111406,0.5970321381,0.3348252465,-1.102233779,-0.7674085321,0.2670191082
Patrick Beverley,beverpa01,2022,3512,1670,2.110844948,1.996166535,4.107011483,-0.4597092048,1.176154397,0.7164451921,1.679362496,1.938938256,3.618300752,5.435824979,5.030521368,0.4053036111,1.531546818,2.687686424,4.219233242,-0.05838150655
Saddiq Bey,beysa01,2022,5595,2704,0.3877585648,-2.033542387,-1.645783822,-1.399925958,-3.469282878,-4.869208836,0.125940707,-2.419866249,-2.293925542,0.6284311693,0.6284311693,0,-0.490088677,-2.299018749,-2.789107426,-0.1208564038
Khem Birch,birchkh01,2022,2131,1054,-2.332302741,0.3296011066,-2.002701634,1.796373642,-2.838899336,-1.042525694,-1.638160599,-0.3185109896,-1.956671589,0.4263563545,0.3794356305,0.04692072399,-2.464074587,0.5352789977,-1.928795589,-0.7336745175
